Date,Open,High,Low,Close,Adj Close,Volume
2016-08-12,506.89999400000005,519.5,506.14999400000005,516.799988,516.799988,7167435
2016-08-16,512.950012,515.0,503.299988,507.60000599999995,507.60000599999995,6034295
2016-08-17,511.10000599999995,514.25,505.85000599999995,510.39999400000005,510.39999400000005,5853980
2016-08-18,512.400024,517.900024,510.75,512.049988,512.049988,4990558
2016-08-19,514.0,515.0,508.200012,510.0,510.0,4567273
2016-08-22,509.10000599999995,513.599976,503.10000599999995,503.950012,503.950012,4330313
2016-08-23,505.25,508.60000599999995,500.450012,504.0,504.0,5342115
2016-08-24,504.700012,506.049988,493.60000599999995,498.35000599999995,498.35000599999995,5189459
2016-08-25,498.35000599999995,503.299988,491.299988,493.85000599999995,493.85000599999995,8787262
2016-08-26,502.0,515.349976,486.0,503.75,503.75,16347856
2016-08-29,522.5,528.75,515.400024,525.299988,525.299988,12534399
2016-08-30,528.5,530.799988,524.099976,529.0,529.0,6611147
2016-08-31,529.0,548.799988,529.0,537.700012,537.700012,15725942
2016-09-01,540.5,546.650024,540.0,543.650024,543.650024,7571854
2016-09-02,552.0,555.900024,549.099976,549.849976,549.849976,10097146
2016-09-06,556.349976,593.299988,556.349976,588.700012,588.700012,15813178
2016-09-07,590.0,598.400024,584.0,587.400024,587.400024,13408927
2016-09-08,590.75,591.700012,577.75,584.200012,584.200012,10456258
2016-09-09,580.0,582.950012,571.700012,573.25,573.25,7159068
2016-09-12,551.0,560.0,549.25,553.450012,553.450012,7055294
2016-09-14,556.25,565.349976,544.099976,560.5,560.5,12364724
2016-09-15,562.0,566.25,555.400024,557.549988,557.549988,5258859
2016-09-16,562.400024,568.200012,546.349976,548.700012,548.700012,10931845
2016-09-19,553.799988,556.400024,549.450012,554.450012,554.450012,6979269
2016-09-20,555.0,556.299988,545.5,548.450012,548.450012,6874462
2016-09-21,548.599976,556.400024,544.0,549.900024,549.900024,5919149
2016-09-22,561.200012,562.950012,551.349976,558.450012,558.450012,6012388
2016-09-23,558.5,558.5,551.200012,553.049988,553.049988,4840360
2016-09-26,549.950012,549.950012,533.75,535.299988,535.299988,6858574
2016-09-27,537.700012,542.0,530.25,531.950012,531.950012,4912743
